Scan,DL Bat. V,DL GR1,DL GR2,DL RTD_Airtemp,DL WS_ms,DL WindDir,DL Panel_T1,DL Panel_T2,DL Panel_T3,DL Panel_T4,DL Panel_T5
Feb  1 2016 12:00AM,11.853,-3.726,-4.239,23.591,1.08,301.069,21.946,30.871,22.678,21.345,21.861
Feb  1 2016 12:01AM,11.85,-3.726,-4.325,23.485,1.08,249.564,21.908,30.748,22.655,21.299,21.815
Feb  1 2016 12:02AM,11.845,-3.814,-4.325,23.437,1.08,324.93,21.861,30.578,22.616,21.267,21.768
Feb  1 2016 12:03AM,11.842,-3.992,-4.412,23.31,0,266.1,21.823,30.393,22.57,21.237,21.715
Feb  1 2016 12:04AM,11.841,-3.992,-4.498,23.055,0,329.476,21.769,30.501,22.524,21.191,21.645
Feb  1 2016 12:05AM,11.846,-4.08,-4.585,22.881,0,306.697,21.699,30.355,22.447,21.121,21.568
Feb  1 2016 12:06AM,11.853,-4.258,-4.671,22.678,0,298.223,21.621,30.292,22.361,21.051,21.482
Feb  1 2016 12:07AM,11.853,-4.346,-4.758,22.473,0,206.784,21.537,30.03,22.277,20.982,21.375
Feb  1 2016 12:08AM,11.849,-4.435,-4.931,22.325,0,167.053,21.452,30.023,22.207,20.897,21.267
Feb  1 2016 12:09AM,11.844,-4.435,-4.844,22.223,0,222.785,21.383,29.746,22.123,20.82,21.198
Feb  1 2016 12:10AM,11.845,-4.435,-4.758,22.198,0,231.332,21.321,29.715,22.061,20.735,21.136
Feb  1 2016 12:11AM,11.854,-4.435,-4.758,22.097,0,241.47,21.267,29.653,21.991,20.681,21.074
Feb  1 2016 12:12AM,11.851,-4.258,-4.671,22.125,0,246.908,21.205,29.745,21.945,20.619,21.004
Feb  1 2016 12:13AM,11.847,-4.169,-4.671,22.049,0,207.924,21.151,29.614,21.875,20.573,20.927
Feb  1 2016 12:14AM,11.851,-4.169,-4.585,21.999,0,189.679,21.082,29.791,21.814,20.519,20.85
Feb  1 2016 12:15AM,11.844,-4.169,-4.585,21.872,0,220.223,21.02,29.621,21.752,20.465,20.773
Feb  1 2016 12:16AM,11.853,-4.08,-4.585,21.847,1.08,232.451,20.965,29.428,21.689,20.41,20.711
Feb  1 2016 12:17AM,11.849,-4.08,-4.498,21.794,0,246.755,20.903,29.582,21.651,20.356,20.649
Feb  1 2016 12:18AM,11.842,-4.08,-4.498,21.768,1.08,250.102,20.849,29.543,21.589,20.309,20.595
Feb  1 2016 12:19AM,11.843,-4.08,-4.412,21.797,1.08,251.896,20.81,29.389,21.542,20.263,20.556
Feb  1 2016 12:20AM,11.842,-3.903,-4.412,21.771,0,219.94,20.771,29.443,21.504,20.224,20.525
Feb  1 2016 12:21AM,11.854,-3.814,-4.239,21.824,1.08,231.37,20.741,29.274,21.473,20.186,20.51
Feb  1 2016 12:22AM,11.844,-3.637,-4.152,21.805,1.08,242.41,20.718,29.343,21.45,20.155,20.494
Feb  1 2016 12:23AM,11.847,-3.637,-4.066,21.777,1.08,237.9,20.695,29.389,21.419,20.132,20.487
Feb  1 2016 12:24AM,11.842,-3.637,-3.979,21.805,1.08,222.966,20.672,28.888,21.396,20.109,20.487
Feb  1 2016 12:25AM,11.84,-3.371,-3.979,21.878,1.08,235.834,20.672,28.934,21.389,20.094,20.51
Feb  1 2016 12:26AM,11.844,-3.282,-3.806,21.954,1.879,216.07,20.671,29.003,21.372,20.07,20.509
Feb  1 2016 12:27AM,11.842,-3.193,-3.633,21.926,1.879,218.826,20.67,28.956,21.356,20.061,20.539
Feb  1 2016 12:28AM,11.851,-3.282,-3.633,21.984,1.08,218.22,20.655,28.948,21.341,20.031,20.508
Feb  1 2016 12:29AM,11.842,-3.282,-3.547,22.01,1.08,210.136,20.647,28.895,21.326,20.008,20.486
Feb  1 2016 12:30AM,11.852,-3.193,-3.46,22.055,1.08,215.692,20.647,29.017,21.31,19.984,20.469
Feb  1 2016 12:31AM,11.85,-3.193,-3.374,22.058,1.879,207.325,20.654,28.993,21.293,19.975,20.453
Feb  1 2016 12:32AM,11.85,-3.105,-3.287,22.083,1.879,223.161,20.661,28.839,21.286,19.952,20.438
Feb  1 2016 12:33AM,11.844,-3.193,-3.287,22.111,1.879,257.74,20.677,29.032,21.278,19.937,20.423
Feb  1 2016 12:34AM,11.851,-3.016,-3.114,22.142,1.879,217.57,20.684,28.939,21.278,19.952,20.414
Feb  1 2016 12:35AM,11.851,-3.105,-3.201,22.161,1.879,208.193,20.676,28.754,21.262,19.928,20.421
Feb  1 2016 12:36AM,11.849,-3.105,-3.114,22.108,1.08,205.652,20.676,29.155,21.254,19.928,20.421
Feb  1 2016 12:37AM,11.841,-3.016,-3.114,22.088,1.08,220.04,20.661,29.085,21.231,19.921,20.429
Feb  1 2016 12:38AM,11.855,-3.016,-3.287,22.088,1.08,226.356,20.652,28.907,21.207,19.904,20.436
Feb  1 2016 12:39AM,11.852,-3.016,-3.287,21.959,1.879,200.584,20.629,28.977,21.192,19.889,20.421
Feb  1 2016 12:40AM,11.842,-3.016,-3.287,21.909,1.08,216.04,20.622,28.908,21.177,19.874,20.413
Feb  1 2016 12:41AM,11.851,-3.016,-3.287,21.886,1.879,224.339,20.605,29.092,21.16,19.858,20.413
Feb  1 2016 12:42AM,11.85,-3.016,-3.374,21.889,1.08,215.284,20.596,28.913,21.136,19.841,20.403
Feb  1 2016 12:43AM,11.849,-2.927,-3.287,21.883,1.08,213.704,20.573,28.998,21.128,19.826,20.381
Feb  1 2016 12:44AM,11.845,-3.016,-3.374,21.858,1.879,241.624,20.559,28.953,21.098,19.811,20.366
Feb  1 2016 12:45AM,11.853,-3.016,-3.287,21.813,0,177.913,20.535,28.775,21.09,19.795,20.358
Feb  1 2016 12:46AM,11.852,-2.927,-3.287,21.791,1.08,214.12,20.519,28.782,21.074,19.779,20.35
Feb  1 2016 12:47AM,11.848,-3.016,-3.287,21.762,1.08,214.463,20.489,28.713,21.059,19.772,20.319
Feb  1 2016 12:48AM,11.847,-3.016,-3.374,21.74,1.08,201.109,20.458,28.859,21.028,19.748,20.303
Feb  1 2016 12:49AM,11.837,-3.016,-3.46,21.74,0,257.676,20.426,28.782,21.004,19.732,20.272
Feb  1 2016 12:50AM,11.852,-3.016,-3.287,21.689,1.08,263.304,20.395,28.712,20.973,19.717,20.241
Feb  1 2016 12:51AM,11.849,-3.105,-3.46,21.712,0,215.605,20.357,28.705,20.958,19.701,20.202
Feb  1 2016 12:52AM,11.842,-3.194,-3.46,21.689,0,244.297,20.334,28.851,20.927,19.686,20.149
Feb  1 2016 12:53AM,11.851,-3.105,-3.46,21.672,1.08,263.423,20.302,28.758,20.911,19.655,20.117
Feb  1 2016 12:54AM,11.847,-3.105,-3.547,21.642,0,238.411,20.271,28.511,20.888,19.654,20.094
Feb  1 2016 12:55AM,11.847,-3.105,-3.46,21.642,1.08,232.595,20.24,28.534,20.872,19.631,20.07
Feb  1 2016 12:56AM,11.849,-3.016,-3.374,21.591,0,271.699,20.224,28.634,20.856,19.623,20.055
Feb  1 2016 12:57AM,11.853,-3.016,-3.374,21.571,1.08,220.558,20.201,28.672,20.841,19.607,20.055
Feb  1 2016 12:58AM,11.848,-3.016,-3.374,21.543,1.08,229.901,20.193,28.603,20.817,19.592,20.039
Feb  1 2016 12:59AM,11.847,-3.016,-3.374,21.526,1.08,229.711,20.17,28.649,20.802,19.584,20.016
Feb  1 2016  1:00AM,11.84,-2.927,-3.374,21.512,1.08,225.651,20.162,28.703,20.786,19.561,20
Feb  1 2016  1:01AM,11.84,-2.927,-3.287,21.521,1.08,215.215,20.147,28.58,20.779,19.554,20.008
Feb  1 2016  1:02AM,11.845,-2.75,-3.287,21.619,1.879,218.563,20.139,28.541,20.779,19.538,20
Feb  1 2016  1:03AM,11.844,-2.75,-3.201,21.675,1.879,202.882,20.147,28.441,20.779,19.53,20.016
Feb  1 2016  1:04AM,11.851,-2.661,-3.114,21.667,1.08,220.309,20.147,28.718,20.794,19.522,20.039
Feb  1 2016  1:05AM,11.843,-2.573,-3.114,21.698,1.08,234.721,20.162,28.549,20.786,19.514,20.062
Feb  1 2016  1:06AM,11.85,-2.573,-2.941,21.773,1.879,249.073,20.185,28.625,20.786,19.507,20.1
Feb  1 2016  1:07AM,11.842,-2.573,-2.941,21.824,1.879,235.991,20.193,28.934,20.786,19.514,20.116
Feb  1 2016  1:08AM,11.844,-2.484,-2.855,21.897,1.08,213.65,20.2,28.71,20.793,19.514,20.131
Feb  1 2016  1:09AM,11.849,-2.572,-2.941,21.92,1.08,233.036,20.192,29.034,20.801,19.514,20.138
Feb  1 2016  1:10AM,11.85,-2.572,-2.855,21.922,1.08,231.148,20.192,28.926,20.794,19.522,20.131
Feb  1 2016  1:11AM,11.852,-2.572,-2.941,21.877,0,223.076,20.177,29.342,20.794,19.529,20.123
Feb  1 2016  1:12AM,11.852,-2.484,-2.941,21.905,1.08,220.749,20.192,28.949,20.809,19.53,20.115
Feb  1 2016  1:13AM,11.851,-2.573,-3.028,21.95,1.08,233.583,20.177,28.895,20.793,19.544,20.115
Feb  1 2016  1:14AM,11.839,-2.484,-2.941,21.956,1.08,229.333,20.153,28.447,20.793,19.529,20.091
Feb  1 2016  1:15AM,11.842,-2.661,-2.941,21.953,1.08,209.295,20.13,28.732,20.777,19.536,20.083
Feb  1 2016  1:16AM,11.85,-2.661,-3.028,21.981,1.08,203.537,20.115,28.84,20.762,19.529,20.06
Feb  1 2016  1:17AM,11.85,-2.661,-3.114,21.978,1.08,200.059,20.099,28.508,20.746,19.505,20.022
Feb  1 2016  1:18AM,11.848,-2.75,-3.114,22.034,0,207.468,20.074,29.309,20.737,19.481,19.99
Feb  1 2016  1:19AM,11.84,-2.661,-3.287,21.984,0,257.496,20.051,29.085,20.721,19.449,19.958
Feb  1 2016  1:20AM,11.841,-2.75,-3.287,21.978,0,206.246,20.035,28.923,20.714,19.434,19.943
Feb  1 2016  1:21AM,11.84,-2.75,-3.287,21.978,0,195.657,20.004,29.015,20.691,19.403,19.904
Feb  1 2016  1:22AM,11.849,-2.839,-3.46,21.956,0,255.122,19.974,28.869,20.667,19.372,19.881
Feb  1 2016  1:23AM,11.841,-2.839,-3.46,21.981,0,302.834,19.951,28.777,20.667,19.357,19.85
Feb  1 2016  1:24AM,11.845,-2.839,-3.46,22.004,0,357.207,19.927,28.884,20.659,19.357,19.819
Feb  1 2016  1:25AM,11.849,-2.75,-3.287,22.006,1.879,241.565,19.95,29.023,20.675,19.357,19.835
Feb  1 2016  1:26AM,11.85,-2.75,-3.287,21.706,1.879,339.34,19.989,29,20.698,19.388,19.858
Feb  1 2016  1:27AM,11.849,-2.839,-3.287,21.329,1.879,302.181,19.943,29.038,20.66,19.357,19.812
Feb  1 2016  1:28AM,11.845,-3.016,-3.46,21.021,1.08,285.098,19.904,29.039,20.606,19.326,19.742
Feb  1 2016  1:29AM,11.845,-3.282,-3.72,20.72,1.08,127.383,19.835,28.807,20.544,19.264,19.681
Feb  1 2016  1:30AM,11.849,-3.371,-3.806,20.667,1.879,246.777,19.796,28.753,20.497,19.225,19.618
Feb  1 2016  1:31AM,11.84,-3.371,-3.893,20.616,1.08,195.527,19.757,28.83,20.467,19.187,19.58
Feb  1 2016  1:32AM,11.851,-3.371,-3.806,20.493,1.08,227.948,19.719,28.738,20.428,19.156,19.542
Feb  1 2016  1:33AM,11.845,-3.282,-3.633,20.543,1.08,235.249,19.696,28.861,20.405,19.125,19.511
Feb  1 2016  1:34AM,11.838,-3.282,-3.72,20.468,1.879,196.038,19.649,28.614,20.35,19.086,19.456
Feb  1 2016  1:35AM,11.843,-3.282,-3.633,20.445,1.08,238.136,19.602,28.883,20.311,19.047,19.409
Feb  1 2016  1:36AM,11.841,-3.371,-3.72,20.44,0,202.592,19.548,28.451,20.265,19.001,19.363
Feb  1 2016  1:37AM,11.848,-3.371,-3.633,20.422,1.08,204.848,19.509,28.212,20.211,18.947,19.324
