Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 28 2016 12:00AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:01AM,11.857,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:02AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:03AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:04AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:05AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:06AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:07AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:08AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:09AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:10AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:11AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:12AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:13AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:14AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:15AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:16AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:17AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:18AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:19AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:20AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:21AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:22AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:23AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:24AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:25AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:26AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:27AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:28AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:29AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:30AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:31AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:32AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:33AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:34AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:35AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:36AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:37AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:38AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:39AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:40AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:41AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:42AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:43AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:44AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:45AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:46AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:47AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016 12:48AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
