Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh (EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 29 2016  9:48AM,11.851,166.546,5.377,895.45,2444.049,163.183,5.254,857.429,2407.046,159.376,5.195,827.967,1408.165
Feb 29 2016  9:49AM,11.856,167.034,5.324,889.306,2444.063,163.342,5.216,851.953,2407.06,159.364,5.168,823.555,1408.18
Feb 29 2016  9:50AM,11.864,166.744,5.451,908.917,2444.078,163.264,5.324,869.273,2407.075,159.373,5.265,839.148,1408.193
Feb 29 2016  9:51AM,11.853,166.554,5.423,903.231,2444.093,163.283,5.313,867.464,2407.089,159.371,5.26,838.339,1408.208
Feb 29 2016  9:52AM,11.852,166.468,5.455,908.108,2444.109,163.24,5.322,868.71,2407.102,159.374,5.269,839.815,1408.221
Feb 29 2016  9:53AM,11.864,166.459,5.47,910.558,2444.123,159.53,5.443,868.365,2407.117,159.386,5.286,842.577,1408.236
Feb 29 2016  9:54AM,11.852,166.574,5.509,917.646,2444.139,163.287,5.365,876.037,2407.131,159.388,5.319,847.811,1408.249
Feb 29 2016  9:55AM,11.861,166.4,5.522,918.856,2444.154,159.568,5.497,877.158,2407.147,159.391,5.329,849.356,1408.265
Feb 29 2016  9:56AM,11.857,166.18,5.501,914.173,2444.17,159.567,5.483,874.963,2407.16,159.408,5.318,847.717,1408.278
Feb 29 2016  9:57AM,11.858,165.914,5.533,918.006,2444.185,159.569,5.51,879.265,2407.176,159.387,5.354,853.321,1408.291
Feb 29 2016  9:58AM,11.858,165.078,5.572,919.839,2444.199,159.547,5.523,881.174,2407.19,159.387,5.36,854.321,1408.306
Feb 29 2016  9:59AM,11.852,165.168,5.607,926.115,2444.216,159.568,5.559,886.97,2407.206,159.373,5.388,858.768,1408.319
Feb 29 2016 10:00AM,11.854,164.999,5.619,927.164,2444.23,159.558,5.569,888.63,2407.219,159.363,5.398,860.294,1408.335
Feb 29 2016 10:01AM,11.854,165.241,5.645,932.757,2444.247,159.577,5.604,894.294,2407.236,159.362,5.434,865.996,1408.348
Feb 29 2016 10:02AM,11.858,165.439,5.667,937.611,2444.262,159.619,5.628,898.319,2407.25,159.383,5.459,870.078,1408.364
Feb 29 2016 10:03AM,11.856,165.683,5.697,943.853,2444.279,159.577,5.638,899.649,2407.266,159.383,5.47,871.894,1408.378
Feb 29 2016 10:04AM,11.851,165.676,5.765,955.143,2444.294,159.628,5.684,907.326,2407.28,159.384,5.521,879.999,1408.394
Feb 29 2016 10:05AM,11.862,165.763,5.766,955.794,2444.311,159.619,5.732,914.881,2407.296,159.426,5.554,885.486,1408.407
Feb 29 2016 10:06AM,11.859,165.995,5.773,958.237,2444.325,159.616,5.743,916.607,2407.31,159.371,5.572,888.006,1408.423
Feb 29 2016 10:07AM,11.86,164.98,5.8,956.836,2444.343,159.635,5.746,917.252,2407.327,159.382,5.573,888.21,1408.437
Feb 29 2016 10:08AM,11.857,164.811,5.802,956.312,2444.358,159.615,5.74,916.149,2407.341,159.359,5.561,886.266,1408.453
Feb 29 2016 10:09AM,11.859,165.439,5.865,970.355,2444.375,159.616,5.8,925.819,2407.357,159.374,5.628,896.948,1408.467
Feb 29 2016 10:10AM,11.862,164.511,5.833,959.531,2444.39,159.638,5.804,926.495,2407.372,159.263,5.624,895.75,1408.483
Feb 29 2016 10:11AM,11.864,165.06,5.843,964.458,2444.407,159.595,5.791,924.17,2407.388,159.253,5.61,893.343,1408.497
Feb 29 2016 10:12AM,11.862,165.248,5.864,969.019,2444.422,159.704,5.81,927.94,2407.403,159.396,5.632,897.698,1408.512
Feb 29 2016 10:13AM,11.864,165.303,5.916,977.883,2444.439,159.627,5.858,935.117,2407.417,159.389,5.677,904.93,1408.526
Feb 29 2016 10:14AM,11.864,165.907,5.928,983.555,2444.455,159.626,5.898,941.469,2407.434,159.383,5.718,911.365,1408.543
Feb 29 2016 10:15AM,11.863,165.264,5.979,988.089,2444.472,159.63,5.926,945.956,2407.448,159.397,5.738,914.609,1408.557
Feb 29 2016 10:16AM,11.864,165.127,5.935,979.945,2444.488,159.643,5.882,938.999,2407.465,159.379,5.695,907.729,1408.573
Feb 29 2016 10:17AM,11.856,165.042,5.97,985.379,2444.505,159.669,5.905,942.833,2407.48,159.429,5.715,911.218,1408.588
Feb 29 2016 10:18AM,11.864,165.087,5.99,988.87,2444.521,159.637,5.931,946.798,2407.497,159.4,5.738,914.566,1408.604
